Indicador,Valor,Unidad de medida,Definición,Mes,Ano,Empresa
Unidades por kilo mmpp terceros*,60,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,7,2021,St Andrews
Ingreso Materia Bruta Prima Propia,329085,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,8,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,289460,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,8,2021,St Andrews
Unidades por kilo mmpp propia*,58,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,8,2021,St Andrews
Ingreso Materia Prima Bruta Terceros,774567,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,8,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Terceros,652568,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,8,2021,St Andrews
Unidades por kilo mmpp terceros*,54,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,8,2021,St Andrews
Ingreso Materia Bruta Prima Propia,269442,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,9,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,223038,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,9,2021,St Andrews
Unidades por kilo mmpp propia*,60,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,9,2021,St Andrews
Ingreso Materia Prima Bruta Terceros,362001,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,9,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Terceros,302073,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,9,2021,St Andrews
Unidades por kilo mmpp terceros*,56,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,9,2021,St Andrews
Ingreso Materia Bruta Prima Propia,3160505,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,1,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,2518097,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,1,2021,St Andrews
Unidades por kilo mmpp propia*,54,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,1,2021,St Andrews
Ingreso Materia Prima Bruta Terceros,771227,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,1,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Terceros,650418,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,1,2021,St Andrews
Unidades por kilo mmpp terceros*,59,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,1,2021,St Andrews
Ingreso Materia Bruta Prima Propia,3235456,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,2,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,2461645,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,2,2021,St Andrews
Unidades por kilo mmpp propia*,53,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,2,2021,St Andrews
Ingreso Materia Prima Bruta Terceros,718621,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,2,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Terceros,602405,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,2,2021,St Andrews
Unidades por kilo mmpp terceros*,49,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,2,2021,St Andrews
Ingreso Materia Bruta Prima Propia,3751881,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,3,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,2906887,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,3,2021,St Andrews
Unidades por kilo mmpp propia*,51,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,3,2021,St Andrews
Ingreso Materia Prima Bruta Terceros,1064979,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,3,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Terceros,859759,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,3,2021,St Andrews
Unidades por kilo mmpp terceros*,47,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,3,2021,St Andrews
Ingreso Materia Bruta Prima Propia,3296841,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,4,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,2620849,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,4,2021,St Andrews
Unidades por kilo mmpp propia*,56,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,4,2021,St Andrews
Ingreso Materia Prima Bruta Terceros,1093524,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,4,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Terceros,900492,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,4,2021,St Andrews
Unidades por kilo mmpp terceros*,53,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,4,2021,St Andrews
Ingreso Materia Bruta Prima Propia,3405967,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,5,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,2682253,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,5,2021,St Andrews
Unidades por kilo mmpp propia*,60,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,5,2021,St Andrews
Ingreso Materia Prima Bruta Terceros,1083425,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,5,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Terceros,919048,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,5,2021,St Andrews
Unidades por kilo mmpp terceros*,54,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,5,2021,St Andrews
Ingreso Materia Bruta Prima Propia,3027539,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,6,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,2291644,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,6,2021,St Andrews
Unidades por kilo mmpp propia*,56,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,6,2021,St Andrews
Ingreso Materia Prima Bruta Terceros,1459218,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,6,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Terceros,1250574,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,6,2021,St Andrews
Unidades por kilo mmpp terceros*,53,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,6,2021,St Andrews
Ingreso Materia Bruta Prima Propia,1703989,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,7,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,1323318,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,7,2021,St Andrews
Unidades por kilo mmpp propia*,55,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,7,2021,St Andrews
Ingreso Materia Prima Bruta Terceros,2669900,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,7,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Terceros,2318210,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,7,2021,St Andrews
Unidades por kilo mmpp terceros*,54,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,7,2021,St Andrews
Ingreso Materia Bruta Prima Propia,1496248,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,8,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,1312526,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,8,2021,St Andrews
Unidades por kilo mmpp propia*,61,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,8,2021,St Andrews
Ingreso Materia Prima Bruta Terceros,854641,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,8,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Terceros,686062,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,8,2021,St Andrews
Unidades por kilo mmpp terceros*,53,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,8,2021,St Andrews
Ingreso Materia Bruta Prima Propia,776437,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,9,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,658379,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,9,2021,St Andrews
Unidades por kilo mmpp propia*,62,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,9,2021,St Andrews
Ingreso Materia Prima Bruta Terceros,651103,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,9,2021,St Andrews
Ingreso Materia Prima Neta o Pagada Terceros,543988,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,9,2021,St Andrews
Unidades por kilo mmpp terceros*,56,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,9,2021,St Andrews
Ingreso Materia Prima Propia,499307,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,1,2021,Landes
Ingreso Materia Prima Neta Propia,437779,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,1,2021,Landes
Unidades por kilo mmpp propia*,56.2,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,1,2021,Landes
Ingreso Materia Prima Terceros,3001260,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,1,2021,Landes
Ingreso Materia Prima Neta Terceros,2400328,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,1,2021,Landes
Unidades por kilo mmpp terceros*,63.3,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,1,2021,Landes
Ingreso Materia Prima Propia,406114,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,2,2021,Landes
Ingreso Materia Prima Neta Propia,354852,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,2,2021,Landes
Unidades por kilo mmpp propia*,57.7,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,2,2021,Landes
Ingreso Materia Prima Terceros,3311382,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,2,2021,Landes
Ingreso Materia Prima Neta Terceros,2702349,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,2,2021,Landes
Unidades por kilo mmpp terceros*,65.4,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,2,2021,Landes
Ingreso Materia Prima Propia,1261430,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,3,2021,Landes
Ingreso Materia Prima Neta Propia,1080923,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,3,2021,Landes
Unidades por kilo mmpp propia*,59.2,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,3,2021,Landes
Ingreso Materia Prima Terceros,3052731,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,3,2021,Landes
Ingreso Materia Prima Neta Terceros,2529250,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,3,2021,Landes
Unidades por kilo mmpp terceros*,70.5,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,3,2021,Landes
Ingreso Materia Prima Propia,543989,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,4,2021,Landes
Ingreso Materia Prima Neta Propia,482612,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,4,2021,Landes
Unidades por kilo mmpp propia*,68,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,4,2021,Landes
Ingreso Materia Prima Terceros,3926006,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,4,2021,Landes
Ingreso Materia Prima Neta Terceros,3325065,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,4,2021,Landes
Unidades por kilo mmpp terceros*,69,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,4,2021,Landes
Ingreso Materia Prima Propia,1319598,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,5,2021,Landes
Ingreso Materia Prima Neta Propia,1161332,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,5,2021,Landes
Unidades por kilo mmpp propia*,72.8,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,5,2021,Landes
Ingreso Materia Prima Terceros,3368214,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,5,2021,Landes
Ingreso Materia Prima Neta Terceros,2833876,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,5,2021,Landes
Unidades por kilo mmpp terceros*,70.5,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,5,2021,Landes
Ingreso Materia Prima Propia,810678,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,6,2021,Landes
Ingreso Materia Prima Neta Propia,746661,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,6,2021,Landes
Unidades por kilo mmpp propia*,58,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,6,2021,Landes
Ingreso Materia Prima Terceros,4277988,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,6,2021,Landes
Ingreso Materia Prima Neta Terceros,3493796,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,6,2021,Landes
Unidades por kilo mmpp terceros*,68.7,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,6,2021,Landes
Ingreso Materia Prima Propia,1004213,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,7,2021,Landes
Ingreso Materia Prima Neta Propia,914825,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,7,2021,Landes
Unidades por kilo mmpp propia*,87,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,7,2021,Landes
Ingreso Materia Prima Terceros,4793339,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,7,2021,Landes
Ingreso Materia Prima Neta Terceros,3874356,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,7,2021,Landes
Unidades por kilo mmpp terceros*,68.5,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,7,2021,Landes
Ingreso Materia Prima Propia,0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,8,2021,Landes
Ingreso Materia Prima Neta Propia,0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,8,2021,Landes
Unidades por kilo mmpp propia*,0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,8,2021,Landes
Ingreso Materia Prima Terceros,3179447,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,8,2021,Landes
Ingreso Materia Prima Neta Terceros,2423273,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,8,2021,Landes
Unidades por kilo mmpp terceros*,68.5,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,8,2021,Landes
Ingreso Materia Bruta Prima Propia,1923738,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,1,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Propia,2043910.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,1,2021,Camanchaca
Unidades por kilo mmpp propia*,66,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,1,2021,Camanchaca
Ingreso Materia Prima Bruta Terceros,1987401,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,1,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Terceros,1726323,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,1,2021,Camanchaca
Ingreso Materia Bruta Prima Propia,3212516.7,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,2,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Propia,3006442.7,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,2,2021,Camanchaca
Unidades por kilo mmpp propia*,68.82,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,2,2021,Camanchaca
Ingreso Materia Prima Bruta Terceros,825936,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,2,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Terceros,729847.5,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,2,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Propia,3536160.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,3,2021,Camanchaca
Unidades por kilo mmpp propia*,66.7,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,3,2021,Camanchaca
Ingreso Materia Prima Bruta Terceros,822848.5,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,3,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Terceros,727856.5,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,3,2021,Camanchaca
Unidades por kilo mmpp terceros*,59.04,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,3,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Propia,3146167,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,4,2021,Camanchaca
Unidades por kilo mmpp propia*,67.2,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,4,2021,Camanchaca
Ingreso Materia Prima Bruta Terceros,628575,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,4,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Terceros,549293.5,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,4,2021,Camanchaca
Unidades por kilo mmpp terceros*,63.11,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,4,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Propia,4059955.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,5,2021,Camanchaca
Unidades por kilo mmpp propia*,65,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,5,2021,Camanchaca
Ingreso Materia Prima Bruta Terceros,854966,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,5,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Terceros,767093,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,5,2021,Camanchaca
Unidades por kilo mmpp terceros*,61,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,5,2021,Camanchaca
Ingreso Materia Prima Neta o Pagada Propia,3555371.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,6,2021,Camanchaca
Unidades por kilo mmpp propia*,65.21,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,6,2021,Camanchaca
