Producto,Calibre,Valor,Unidad de medida,Definición,Mes,Ano,Empresa
Media Concha,40-60 UNI/KG,4510,Kilos,Kg netos del producto empacados en el mes*,4,2021,Sudmaris
Entero,NATURAL,196889.36,Kilos,Kg netos del producto empacados en el mes*,4,2021,Sudmaris
Rendimiento Olla mmpp Propia,0,0.2825,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,4,2021,Sudmaris
Rendimiento Olla mmpp Terceros,0,0.290342593,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,4,2021,Sudmaris
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,5,2021,Sudmaris
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,5,2021,Sudmaris
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,5,2021,Sudmaris
Rendimiento Olla mmpp Propia,0,0,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,5,2021,Sudmaris
Rendimiento Olla mmpp Terceros,0,0,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,5,2021,Sudmaris
Media Concha,40-60 UNI/KG,3564,Kilos,Kg netos del producto empacados en el mes*,5,2021,Sudmaris
Entero,NATURAL,159207.49,Kilos,Kg netos del producto empacados en el mes*,5,2021,Sudmaris
Rendimiento Olla mmpp Propia,0,0.246575646,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,5,2021,Sudmaris
Rendimiento Olla mmpp Terceros,0,0.2695288,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,5,2021,Sudmaris
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,6,2021,Sudmaris
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,6,2021,Sudmaris
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,6,2021,Sudmaris
Rendimiento Olla mmpp Propia,0,0,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,6,2021,Sudmaris
Rendimiento Olla mmpp Terceros,0,0,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,6,2021,Sudmaris
Media Concha,40-60 UNI/KG,4532,Kilos,Kg netos del producto empacados en el mes*,6,2021,Sudmaris
Entero,NATURAL,203453.14,Kilos,Kg netos del producto empacados en el mes*,6,2021,Sudmaris
Rendimiento Olla mmpp Propia,0,0.2287,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,6,2021,Sudmaris
Rendimiento Olla mmpp Terceros,0,0.2781,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,6,2021,Sudmaris
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,7,2021,Sudmaris
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,7,2021,Sudmaris
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,7,2021,Sudmaris
Rendimiento Olla mmpp Propia,0,0,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,7,2021,Sudmaris
Rendimiento Olla mmpp Terceros,0,0,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,7,2021,Sudmaris
Media Concha,40-60 UNI/KG,473,Kilos,Kg netos del producto empacados en el mes*,7,2021,Sudmaris
Entero,NATURAL,238478.97,Kilos,Kg netos del producto empacados en el mes*,7,2021,Sudmaris
Rendimiento Olla mmpp Propia,0,0.205697531,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,7,2021,Sudmaris
Rendimiento Olla mmpp Terceros,0,0.257381119,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,7,2021,Sudmaris
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,8,2021,Sudmaris
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,8,2021,Sudmaris
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,8,2021,Sudmaris
Rendimiento Olla mmpp Propia,0,0,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,8,2021,Sudmaris
Rendimiento Olla mmpp Terceros,0,0,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,8,2021,Sudmaris
Media Concha,40-60 UNI/KG,99,Kilos,Kg netos del producto empacados en el mes*,8,2021,Sudmaris
Entero,NATURAL,296414,Kilos,Kg netos del producto empacados en el mes*,8,2021,Sudmaris
Rendimiento Olla mmpp Propia,0,0.223757576,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,8,2021,Sudmaris
Rendimiento Olla mmpp Terceros,0,0.232230769,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,8,2021,Sudmaris
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,9,2021,Sudmaris
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,9,2021,Sudmaris
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,9,2021,Sudmaris
Rendimiento Olla mmpp Propia,0,0,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,9,2021,Sudmaris
Rendimiento Olla mmpp Terceros,0,0,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,9,2021,Sudmaris
Entero,NATURAL,247903.46,Kilos,Kg netos del producto empacados en el mes*,9,2021,Sudmaris
Rendimiento Olla mmpp Terceros,0,0.2109,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,9,2021,Sudmaris
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,10,2021,Sudmaris
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,10,2021,Sudmaris
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,10,2021,Sudmaris
Rendimiento Olla mmpp Propia,0,0,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,10,2021,Sudmaris
Rendimiento Olla mmpp Terceros,0,0,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,10,2021,Sudmaris
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,11,2021,Sudmaris
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,11,2021,Sudmaris
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,11,2021,Sudmaris
Rendimiento Olla mmpp Propia,0,0,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,11,2021,Sudmaris
Rendimiento Olla mmpp Terceros,0,0,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,11,2021,Sudmaris
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,12,2021,Sudmaris
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,12,2021,Sudmaris
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,12,2021,Sudmaris
Rendimiento Olla mmpp Propia,0,0,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,12,2021,Sudmaris
Rendimiento Olla mmpp Terceros,0,0,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,12,2021,Sudmaris
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,1,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,1,2021,Blue Shell
Entero,NATURAL,126474,Kilos,Kg netos del producto empacados en el mes*,1,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0.288,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,1,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0.312,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,1,2021,Blue Shell
Carne,50-100 UNI/KG,0,0,Kilos,1,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,0,Kilos,1,2021,Blue Shell
Entero,NATURAL,126474,0,Kilos,1,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0.288,0,%,1,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0.312,0,%,1,2021,Blue Shell
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,2,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,2,2021,Blue Shell
Entero,NATURAL,16070,Kilos,Kg netos del producto empacados en el mes*,2,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0.292,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,2,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0.336,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,2,2021,Blue Shell
Carne,50-100 UNI/KG,0,0,Kilos,2,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,0,Kilos,2,2021,Blue Shell
Entero,NATURAL,16070,0,Kilos,2,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0.292,0,%,2,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0.336,0,%,2,2021,Blue Shell
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,3,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,3,2021,Blue Shell
Entero,NATURAL,90729,Kilos,Kg netos del producto empacados en el mes*,3,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0.273,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,3,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0.288,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,3,2021,Blue Shell
Carne,50-100 UNI/KG,0,0,Kilos,3,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,0,Kilos,3,2021,Blue Shell
Entero,NATURAL,90729,0,Kilos,3,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0.273,0,%,3,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0.288,0,%,3,2021,Blue Shell
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,4,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,4,2021,Blue Shell
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,4,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,4,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,4,2021,Blue Shell
Carne,50-100 UNI/KG,0,0,Kilos,4,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,0,Kilos,4,2021,Blue Shell
Entero,NATURAL,0,0,Kilos,4,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0,0,%,4,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0,0,%,4,2021,Blue Shell
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,5,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,5,2021,Blue Shell
Entero,NATURAL,84367,Kilos,Kg netos del producto empacados en el mes*,5,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0.236,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,5,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0.271,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,5,2021,Blue Shell
Carne,50-100 UNI/KG,0,0,Kilos,5,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,0,Kilos,5,2021,Blue Shell
Entero,NATURAL,84367,0,Kilos,5,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0.236,0,%,5,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0.271,0,%,5,2021,Blue Shell
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,6,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,6,2021,Blue Shell
Entero,NATURAL,106624,Kilos,Kg netos del producto empacados en el mes*,6,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0.211,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,6,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0.24,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,6,2021,Blue Shell
Carne,50-100 UNI/KG,0,0,Kilos,6,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,0,Kilos,6,2021,Blue Shell
Entero,NATURAL,106624,0,Kilos,6,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0.211,0,%,6,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0.24,0,%,6,2021,Blue Shell
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,7,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,7,2021,Blue Shell
Entero,NATURAL,146998,Kilos,Kg netos del producto empacados en el mes*,7,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0.209,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,7,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0.234,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,7,2021,Blue Shell
Carne,50-100 UNI/KG,0,0,Kilos,7,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,0,Kilos,7,2021,Blue Shell
Entero,NATURAL,146998,0,Kilos,7,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0.209,0,%,7,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0.234,0,%,7,2021,Blue Shell
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,8,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,8,2021,Blue Shell
Entero,NATURAL,148262,Kilos,Kg netos del producto empacados en el mes*,8,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0.183734293,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,8,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0.212721893,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,8,2021,Blue Shell
Carne,50-100 UNI/KG,0,0,Kilos,8,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,0,Kilos,8,2021,Blue Shell
Entero,NATURAL,148262,0,Kilos,8,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0.183734293,0,%,8,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0.212721893,0,%,8,2021,Blue Shell
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,9,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,9,2021,Blue Shell
Entero,NATURAL,27082,Kilos,Kg netos del producto empacados en el mes*,9,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0.168709022,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,9,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0.198389267,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,9,2021,Blue Shell
Carne,50-100 UNI/KG,0,0,Kilos,9,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,0,Kilos,9,2021,Blue Shell
Entero,NATURAL,27082,0,Kilos,9,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0.168709022,0,%,9,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0.198389267,0,%,9,2021,Blue Shell
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,10,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,10,2021,Blue Shell
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,10,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,10,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,10,2021,Blue Shell
Carne,50-100 UNI/KG,0,0,Kilos,10,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,0,Kilos,10,2021,Blue Shell
Entero,NATURAL,0,0,Kilos,10,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0,0,%,10,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0,0,%,10,2021,Blue Shell
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,11,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,11,2021,Blue Shell
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,11,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,11,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,11,2021,Blue Shell
Carne,50-100 UNI/KG,0,0,Kilos,11,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,0,Kilos,11,2021,Blue Shell
Entero,NATURAL,0,0,Kilos,11,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0,0,%,11,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0,0,%,11,2021,Blue Shell
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,12,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,12,2021,Blue Shell
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,12,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,12,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,12,2021,Blue Shell
Carne,50-100 UNI/KG,0,0,Kilos,12,2021,Blue Shell
Media Concha,40-60 UNI/KG,0,0,Kilos,12,2021,Blue Shell
Entero,NATURAL,0,0,Kilos,12,2021,Blue Shell
Rendimiento Olla mmpp Propia,0,0,0,%,12,2021,Blue Shell
Rendimiento Olla mmpp Terceros,0,0,0,%,12,2021,Blue Shell
Carne,50-100 UNI/KG,90,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Carne,100-200 UNI/KG,137110,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Carne,200-300 UNI/KG,354880,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Carne,300-500 UNI/KG,76150,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Carne,500-1000 UNI/KG,13320,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Carne,INDUSTRIAL,42920,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Media Concha,40-60 UNI/KG,2484,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Media Concha,60-80 UNI/KG,29727,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Media Concha,80-100 UNI/KG,1503,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Media Concha,100 UP UNI/KG,27,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Entero,NATURAL ,269445,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Entero,CON SALSA ,43128,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Entero,NATURAL 500 g,0,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Entero,CON SALSA 500 g,0,Kilos,Kg netos del producto empacados en el mes*,1,2020,St Andrews
Rendimiento Olla mmpp Propia,0,0.276,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,1,2020,St Andrews
Rendimiento Olla mmpp Terceros,0,0.251,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,1,2020,St Andrews
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Carne,100-200 UNI/KG,307720,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Carne,200-300 UNI/KG,360000,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Carne,300-500 UNI/KG,52200,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Carne,500-1000 UNI/KG,5970,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Carne,INDUSTRIAL,33040,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Media Concha,40-60 UNI/KG,2835,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Media Concha,60-80 UNI/KG,45360,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Media Concha,80-100 UNI/KG,3852,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Media Concha,100 UP UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Entero,NATURAL 1 kg,102540,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Entero,CON SALSA 1 kg,0,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Entero,NATURAL 500 g,181235,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Entero,CON SALSA 500 g,24580,Kilos,Kg netos del producto empacados en el mes*,2,2020,St Andrews
Rendimiento Olla mmpp Propia,0,0.312,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,2,2020,St Andrews
Rendimiento Olla mmpp Terceros,0,0.26,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,2,2020,St Andrews
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Carne,100-200 UNI/KG,315590,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Carne,200-300 UNI/KG,561650,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Carne,300-500 UNI/KG,97190,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Carne,500-1000 UNI/KG,17650,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Carne,INDUSTRIAL,46960,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Media Concha,40-60 UNI/KG,477,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Media Concha,60-80 UNI/KG,37080,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Media Concha,80-100 UNI/KG,7506,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Media Concha,100 UP UNI/KG,27,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Entero,NATURAL ,169895,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Entero,CON SALSA ,20345,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Entero,NATURAL 500 g,0,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Entero,CON SALSA 500 g,0,Kilos,Kg netos del producto empacados en el mes*,3,2020,St Andrews
Rendimiento Olla mmpp Propia,0,0.263,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,3,2020,St Andrews
Rendimiento Olla mmpp Terceros,0,0.236,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,3,2020,St Andrews
Carne,50-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Carne,100-200 UNI/KG,375090,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Carne,200-300 UNI/KG,474854,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Carne,300-500 UNI/KG,52632,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Carne,500-1000 UNI/KG,8070,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Carne,INDUSTRIAL,47210,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Media Concha,60-80 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Media Concha,80-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Media Concha,100 UP UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Entero,NATURAL ,78341,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Entero,CON SALSA ,27045,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Entero,NATURAL 500 g,0,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Entero,CON SALSA 500 g,0,Kilos,Kg netos del producto empacados en el mes*,4,2020,St Andrews
Rendimiento Olla mmpp Propia,0,0.277,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,4,2020,St Andrews
Rendimiento Olla mmpp Terceros,0,0,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,4,2020,St Andrews
Carne,50-100 UNI/KG,110,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Carne,100-200 UNI/KG,328648,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Carne,200-300 UNI/KG,705422,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Carne,300-500 UNI/KG,125297,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Carne,500-1000 UNI/KG,30090,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Carne,INDUSTRIAL,56120,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Media Concha,60-80 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Media Concha,80-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Media Concha,100 UP UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Entero,NATURAL ,149510,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Entero,CON SALSA ,31089,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Entero,NATURAL 500 g,0,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Entero,CON SALSA 500 g,0,Kilos,Kg netos del producto empacados en el mes*,5,2020,St Andrews
Rendimiento Olla mmpp Propia,0,0.254,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,5,2020,St Andrews
Rendimiento Olla mmpp Terceros,0,0.244,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,5,2020,St Andrews
Carne,50-100 UNI/KG,1440,Kilos,Kg netos del producto empacados en el mes*,6,2020,St Andrews
Carne,100-200 UNI/KG,213230,Kilos,Kg netos del producto empacados en el mes*,6,2020,St Andrews
Carne,200-300 UNI/KG,788807,Kilos,Kg netos del producto empacados en el mes*,6,2020,St Andrews
Carne,300-500 UNI/KG,192680,Kilos,Kg netos del producto empacados en el mes*,6,2020,St Andrews
Carne,500-1000 UNI/KG,48860,Kilos,Kg netos del producto empacados en el mes*,6,2020,St Andrews
Carne,INDUSTRIAL,47430,Kilos,Kg netos del producto empacados en el mes*,6,2020,St Andrews
Media Concha,40-60 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,6,2020,St Andrews
Media Concha,60-80 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,6,2020,St Andrews
